iter	Passed	Remaining
0	8	1223
1	13	1004
2	18	911
3	23	864
4	29	843
5	45	1095
6	49	1004
7	54	962
8	56	880
9	60	840
10	62	785
11	62	723
12	64	683
13	67	653
14	70	635
15	73	612
16	75	589
17	77	568
18	79	546
19	81	528
20	83	514
21	86	500
22	88	487
23	90	474
24	92	464
25	95	453
26	97	442
27	99	433
28	101	422
29	103	413
30	104	401
31	106	394
32	109	388
33	111	380
34	112	370
35	115	364
36	116	356
37	119	350
38	121	345
39	123	339
40	125	334
41	127	328
42	130	323
43	132	319
44	134	314
45	136	309
46	139	304
47	141	300
48	143	295
49	145	290
50	146	284
51	149	280
52	151	277
53	153	272
54	155	269
55	157	264
56	159	260
57	161	256
58	163	252
59	165	248
60	168	245
61	170	241
62	172	238
63	173	233
64	175	229
65	178	226
66	180	223
67	182	220
68	184	216
69	185	212
70	186	207
71	187	202
72	189	200
73	191	196
74	193	193
75	194	189
76	197	187
77	199	183
78	201	181
79	203	178
80	206	175
81	207	172
82	209	169
83	210	165
84	213	162
85	215	160
86	217	157
87	219	154
88	221	151
89	224	149
90	226	146
91	227	143
92	228	140
93	230	137
94	232	134
95	235	132
96	237	129
97	239	126
98	241	124
99	243	121
100	245	119
101	247	116
102	250	114
103	253	112
104	256	109
105	258	107
106	261	105
107	263	102
108	266	100
109	270	98
110	274	96
111	276	93
112	278	91
113	281	88
114	284	86
115	286	84
116	289	81
117	291	79
118	293	76
119	305	76
120	307	73
121	307	70
122	311	68
123	313	65
124	314	62
125	317	60
126	319	57
127	321	55
128	323	52
129	326	50
130	328	47
131	330	45
132	331	42
133	334	39
134	336	37
135	338	34
136	340	32
137	342	29
138	345	27
139	346	24
140	348	22
141	350	19
142	353	17
143	355	14
144	357	12
145	359	9
146	361	7
147	363	4
148	365	2
149	367	0
