iter	F1	Logloss
0	0.6037680855	0.6723602532
1	0.5914597499	0.6537811618
2	0.5926249079	0.635833214
3	0.5985866697	0.6203665791
4	0.5926249079	0.60589531
5	0.5922009956	0.5928484939
6	0.5926249079	0.5801960054
7	0.5926249079	0.5691937633
8	0.5926249079	0.5590463011
9	0.590186108	0.549308566
10	0.590186108	0.5411753846
11	0.5897627788	0.5341320542
12	0.5926249079	0.5269610196
13	0.5930494276	0.5197199713
14	0.5930494276	0.5134387603
15	0.5926249079	0.5081095654
16	0.5926249079	0.5033696588
17	0.5897627788	0.498859229
18	0.5926249079	0.4943801328
19	0.5926249079	0.4902696508
20	0.5926249079	0.4868320311
21	0.5926249079	0.4830426258
22	0.5926249079	0.4808213518
23	0.5926249079	0.4775432266
24	0.5930494276	0.4751897087
25	0.5930494276	0.4728496167
26	0.5930494276	0.4701904821
27	0.5926249079	0.4678361151
28	0.5926249079	0.4658227044
29	0.595475443	0.4639359501
30	0.595475443	0.4621995883
31	0.5926249079	0.4604249123
32	0.595475443	0.4589330454
33	0.595475443	0.4576372774
34	0.59590114	0.4563332171
35	0.59590114	0.4551800048
36	0.5950503537	0.4540592709
37	0.5978882011	0.4531524234
38	0.5978882011	0.4522294272
39	0.5950503537	0.4508671587
40	0.5950503537	0.4495701784
41	0.595475443	0.448299883
42	0.5950503537	0.4473030361
43	0.595475443	0.4464316612
44	0.5983144543	0.4456682153
45	0.5983144543	0.4453043895
46	0.6011420116	0.444248716
47	0.6015700245	0.4434949851
48	0.6011420116	0.4428334908
49	0.6015700245	0.4416831352
50	0.5987413157	0.4412940473
51	0.6015700245	0.4406540336
52	0.6011420116	0.440121833
53	0.6015700245	0.4393241199
54	0.6019986474	0.43865224
55	0.6099880399	0.4378137466
56	0.6127715687	0.437328164
57	0.6127715687	0.436826854
58	0.6123390757	0.4363401288
59	0.6123390757	0.4360464188
60	0.6127715687	0.4356522475
61	0.6178706561	0.4352519426
62	0.6178706561	0.4347421386
63	0.6183053152	0.4342311478
64	0.6187405863	0.4337116119
65	0.6196129695	0.4331556548
66	0.6200500843	0.4327229937
67	0.6196129695	0.4322032052
68	0.6204878162	0.4316147105
69	0.6209261666	0.4308554608
70	0.6209261666	0.4304809674
71	0.6218047281	0.4302444809
72	0.6213651368	0.4300286011
73	0.6213651368	0.4297517729
74	0.6226857794	0.4292077191
75	0.6258893252	0.428933248
76	0.6254467947	0.428611017
77	0.6258893252	0.4280835583
78	0.6250048895	0.4279102392
79	0.6250048895	0.4276151692
80	0.6245636083	0.4271310237
81	0.6245636083	0.4269586555
82	0.6245636083	0.4266173131
83	0.6245636083	0.4263294521
84	0.6245636083	0.4261365307
85	0.6250048895	0.425838272
86	0.6250048895	0.425619982
87	0.6245636083	0.4253005635
88	0.6258893252	0.4247704769
89	0.6254467947	0.4244974335
90	0.6254467947	0.4240448258
91	0.6258893252	0.4237054512
92	0.6258893252	0.4234526208
93	0.6254467947	0.4228206783
94	0.6254467947	0.4222938556
95	0.6263324823	0.4220923012
96	0.6263324823	0.4217636621
97	0.6254467947	0.4215208836
98	0.6254467947	0.4211468552
99	0.6254467947	0.4208511625
100	0.6258893252	0.420397293
101	0.6263324823	0.4199373766
102	0.6263324823	0.419303807
103	0.6267762675	0.4189504869
104	0.6267762675	0.4183743626
105	0.6267762675	0.4178962242
106	0.6267762675	0.4174469072
107	0.627220682	0.4171165417
108	0.6254467947	0.416724734
109	0.6263324823	0.4162311869
110	0.6267762675	0.4158963061
111	0.6258893252	0.4156734395
112	0.6276657272	0.4152216892
113	0.6276657272	0.4152054991
114	0.6276657272	0.4147383917
115	0.6304209766	0.414344518
116	0.6304209766	0.413943754
117	0.6304209766	0.4136380508
118	0.6313150786	0.4131005446
119	0.6317630813	0.4127963646
120	0.6317630813	0.4124521402
121	0.6322117203	0.4123226336
122	0.6322117203	0.4121590049
123	0.6331109126	0.4116525948
124	0.6331109126	0.4113460658
125	0.6340126664	0.4111086449
126	0.6331109126	0.4109132702
127	0.6331109126	0.4104745289
128	0.632660997	0.4103812613
129	0.632660997	0.41006265
130	0.6331109126	0.4094878657
131	0.6340126664	0.4091524596
132	0.6340126664	0.4085580032
133	0.6340126664	0.4085519654
134	0.6344645073	0.4084332155
135	0.6344645073	0.4079815494
136	0.6353701239	0.4076708148
137	0.6353701239	0.4073993266
138	0.6349169927	0.4071894475
139	0.6349169927	0.4070451109
140	0.6349169927	0.4069694468
141	0.6353701239	0.4064875503
142	0.6353701239	0.4064582015
143	0.6335614686	0.4061147441
144	0.6340126664	0.4058043386
145	0.6349169927	0.4055975821
146	0.6344645073	0.405269515
147	0.6353701239	0.4050796414
148	0.6353701239	0.4048951961
149	0.6358239023	0.4046879328
