iter	Passed	Remaining
0	149	22321
1	152	11253
2	153	7534
3	155	5678
4	157	4577
5	159	3832
6	161	3292
7	162	2888
8	164	2576
9	166	2327
10	168	2127
11	170	1957
12	171	1812
13	173	1689
14	175	1581
15	177	1483
16	179	1404
17	181	1327
18	182	1261
19	184	1200
20	186	1145
21	188	1094
22	189	1046
23	191	1006
24	193	968
25	195	932
26	197	898
27	199	867
28	200	837
29	202	810
30	204	784
31	206	760
32	207	737
33	209	715
34	211	696
35	213	676
36	215	658
37	217	640
38	218	622
39	220	606
40	222	590
41	224	576
42	225	562
43	227	548
44	229	535
45	230	522
46	232	509
47	234	498
48	237	488
49	239	478
50	241	468
51	243	458
52	245	448
53	246	439
54	248	429
55	250	420
56	253	413
57	255	405
58	257	397
59	259	389
60	261	381
61	263	373
62	265	366
63	267	358
64	268	351
65	270	343
66	271	336
67	273	329
68	274	322
69	276	315
70	278	309
71	280	303
72	283	298
73	285	292
74	287	287
75	289	281
76	292	277
77	295	272
78	297	267
79	299	261
80	300	256
81	303	251
82	305	246
83	306	241
84	308	235
85	310	230
86	312	225
87	313	220
88	315	216
89	317	211
90	319	206
91	320	202
92	323	198
93	324	193
94	326	189
95	328	184
96	330	180
97	332	176
98	334	172
99	337	168
100	338	164
101	341	160
102	342	156
103	344	152
104	346	148
105	348	144
106	350	140
107	352	137
108	354	133
109	356	129
110	357	125
111	359	121
112	361	118
113	362	114
114	364	110
115	366	107
116	368	103
117	369	100
118	371	96
119	373	93
120	375	89
121	376	86
122	378	83
123	380	79
124	382	76
125	384	73
126	386	70
127	389	67
128	393	63
129	395	60
130	397	57
131	399	54
132	402	51
133	404	48
134	406	45
135	409	42
136	412	39
137	416	36
138	419	33
139	424	30
140	428	27
141	432	24
142	434	21
143	436	18
144	438	15
145	440	12
146	442	9
147	444	6
148	446	2
149	447	0
